"Search Query", "URL"
"khalid location", "https://soundcloud.com/search?q=khalid%20location"
"go off", "https://soundcloud.com/search?q=go%20off"
"patty cake", "https://soundcloud.com/search?q=patty%20cake"
"adios amor", "https://soundcloud.com/search?q=adios%20amor"
"prince royce", "https://soundcloud.com/search?q=prince%20royce"
"party", "https://soundcloud.com/search?q=party"
"nova", "https://soundcloud.com/search?q=nova"
"ten toes down", "https://soundcloud.com/search?q=ten%20toes%20down"
"stay zedd", "https://soundcloud.com/search?q=stay%20zedd"
"black spiderman", "https://soundcloud.com/search?q=black%20spiderman"
"something just like this", "https://soundcloud.com/search?q=something%20just%20like%20this"
"trap nation", "https://soundcloud.com/search?q=trap%20nation"
"trill sammy", "https://soundcloud.com/search?q=trill%20sammy"
"nightcore", "https://soundcloud.com/search?q=nightcore"
"loaf [you belong to somebody 1. else", "https://soundcloud.com/search?q=else"
"kendrick lamar dna", "https://soundcloud.com/search?q=kendrick%20lamar%20dna"
"lil herb", "https://soundcloud.com/search?q=lil%20herb"
"getter", "https://soundcloud.com/search?q=getter"
"peekaboo lil yachty", "https://soundcloud.com/search?q=peekaboo%20lil%20yachty"
"ed sheeran shape of you", "https://soundcloud.com/search?q=ed%20sheeran%20shape%20of%20you"
"timeless", "https://soundcloud.com/search?q=timeless"
"it aint me", "https://soundcloud.com/search?q=it%20aint%20me"
"ty dolla sign", "https://soundcloud.com/search?q=ty%20dolla%20sign"
"21 savage no heart", "https://soundcloud.com/search?q=21%20savage%20no%20heart"
"love on the brain", "https://soundcloud.com/search?q=love%20on%20the%20brain"
"tech n9ne", "https://soundcloud.com/search?q=tech%20n9ne"
"47 remix", "https://soundcloud.com/search?q=47%20remix"
"dj snake", "https://soundcloud.com/search?q=dj%20snake"
"body like a back road", "https://soundcloud.com/search?q=body%20like%20a%20back%20road"
"kelly price", "https://soundcloud.com/search?q=kelly%20price"
"vybz kartel", "https://soundcloud.com/search?q=vybz%20kartel"
"pnb rock misunderstood", "https://soundcloud.com/search?q=pnb%20rock%20misunderstood"
"x", "https://soundcloud.com/search?q=x"
"bryant myers", "https://soundcloud.com/search?q=bryant%20myers"
"hopsin", "https://soundcloud.com/search?q=hopsin"
"ahora dice", "https://soundcloud.com/search?q=ahora%20dice"
"beibs in the trap", "https://soundcloud.com/search?q=beibs%20in%20the%20trap"
"maluma", "https://soundcloud.com/search?q=maluma"
"joey bada", "https://soundcloud.com/search?q=joey%20bada"
"pull up", "https://soundcloud.com/search?q=pull%20up"
"calibre 50", "https://soundcloud.com/search?q=calibre%2050"
"nba young boy", "https://soundcloud.com/search?q=nba%20young%20boy"
"germ", "https://soundcloud.com/search?q=germ"
"kygo", "https://soundcloud.com/search?q=kygo"
"boogie wit da hoodie", "https://soundcloud.com/search?q=boogie%20wit%20da%20hoodie"
"a boogie drowning", "https://soundcloud.com/search?q=a%20boogie%20drowning"
"kashdoll for everybody", "https://soundcloud.com/search?q=kashdoll%20for%20everybody"
"michael jackson", "https://soundcloud.com/search?q=michael%20jackson"
"akon", "https://soundcloud.com/search?q=akon"
"privacy chris brown", "https://soundcloud.com/search?q=privacy%20chris%20brown"
"martin garrix", "https://soundcloud.com/search?q=martin%20garrix"
"somo", "https://soundcloud.com/search?q=somo"
"wheres the blow", "https://soundcloud.com/search?q=wheres%20the%20blow"
"enrique iglesias", "https://soundcloud.com/search?q=enrique%20iglesias"
"first day out tee grizzley", "https://soundcloud.com/search?q=first%20day%20out%20tee%20grizzley"
"swalla", "https://soundcloud.com/search?q=swalla"
"bts", "https://soundcloud.com/search?q=bts"
"popcaan", "https://soundcloud.com/search?q=popcaan"
"biggie smalls", "https://soundcloud.com/search?q=biggie%20smalls"
"tee grizzley first day out", "https://soundcloud.com/search?q=tee%20grizzley%20first%20day%20out"
"trap", "https://soundcloud.com/search?q=trap"
"chalino sanchez", "https://soundcloud.com/search?q=chalino%20sanchez"
"fabolous", "https://soundcloud.com/search?q=fabolous"
"all time low", "https://soundcloud.com/search?q=all%20time%20low"
"closer", "https://soundcloud.com/search?q=closer"
"more life drake", "https://soundcloud.com/search?q=more%20life%20drake"
"water ugly god", "https://soundcloud.com/search?q=water%20ugly%20god"
"j balvin", "https://soundcloud.com/search?q=j%20balvin"
"futuristic", "https://soundcloud.com/search?q=futuristic"
"how you gonna", "https://soundcloud.com/search?q=how%20you%20gonna"
"drake passionfruit", "https://soundcloud.com/search?q=drake%20passionfruit"
"losing control russ", "https://soundcloud.com/search?q=losing%20control%20russ"
"molly brazy", "https://soundcloud.com/search?q=molly%20brazy"
"too much sauce", "https://soundcloud.com/search?q=too%20much%20sauce"
"i know", "https://soundcloud.com/search?q=i%20know"
"money showers", "https://soundcloud.com/search?q=money%20showers"
"kash doll", "https://soundcloud.com/search?q=kash%20doll"
"gyalchester", "https://soundcloud.com/search?q=gyalchester"
"d to the a", "https://soundcloud.com/search?q=d%20to%20the%20a"
"mask off instrumental", "https://soundcloud.com/search?q=mask%20off%20instrumental"
"down", "https://soundcloud.com/search?q=down"
"let me love you", "https://soundcloud.com/search?q=let%20me%20love%20you"
"alex aiono", "https://soundcloud.com/search?q=alex%20aiono"
"juicy j", "https://soundcloud.com/search?q=juicy%20j"
"into you", "https://soundcloud.com/search?q=into%20you"
"dubstep", "https://soundcloud.com/search?q=dubstep"
"fuck it up", "https://soundcloud.com/search?q=fuck%20it%20up"
"king of the dead", "https://soundcloud.com/search?q=king%20of%20the%20dead"
"xavier wulf", "https://soundcloud.com/search?q=xavier%20wulf"
"ariel camacho", "https://soundcloud.com/search?q=ariel%20camacho"
"sippinteainyohood", "https://soundcloud.com/search?q=sippinteainyohood"
"wintertime", "https://soundcloud.com/search?q=wintertime"
"both drake", "https://soundcloud.com/search?q=both%20drake"
"louis the child", "https://soundcloud.com/search?q=louis%20the%20child"
"wale", "https://soundcloud.com/search?q=wale"
"in my coupe", "https://soundcloud.com/search?q=in%20my%20coupe"
"illenium", "https://soundcloud.com/search?q=illenium"
"excision", "https://soundcloud.com/search?q=excision"
"nav myself", "https://soundcloud.com/search?q=nav%20myself"
"lil snupe", "https://soundcloud.com/search?q=lil%20snupe"
"frank ocean biking", "https://soundcloud.com/search?q=frank%20ocean%20biking"
"gang up", "https://soundcloud.com/search?q=gang%20up"
"chance", "https://soundcloud.com/search?q=chance"
"lana del rey", "https://soundcloud.com/search?q=lana%20del%20rey"
"love sosa", "https://soundcloud.com/search?q=love%20sosa"
"i didnt hit her", "https://soundcloud.com/search?q=i%20didnt%20hit%20her"
"or nah", "https://soundcloud.com/search?q=or%20nah"
"jon bellion", "https://soundcloud.com/search?q=jon%20bellion"
"cold maroon 5", "https://soundcloud.com/search?q=cold%20maroon%205"
"phora", "https://soundcloud.com/search?q=phora"
